Concurrency,Message Size,Heap Size,Garbage Collector,per10_latency (s),per50_latency (s),per90_latency (s),per95_latency (s),per98_latency (s),per99_latency (s),per99.5_latency (s),per99.9_latency (s),per99.95_latency (s),per99.99_latency (s)
50,50,200m,UseConcMarkSweepGC,0.0017173,0.0018455,0.0021367,0.00218008,0.002246592,0.002358592,0.002573276,0.0043009424,0.0061035712,0.01566078272
50,50,200m,UseG1GC,0.0022119,0.0023279,0.0027621,0.00282029,0.002893616,0.003003478,0.003259443,0.0073877208,0.0165181834,0.03487610034
50,50,200m,UseParallelGC,0.0020737,0.0022012,0.0023775,0.0024355,0.002512064,0.002666028,0.00303406,0.0051697486,0.0069061348,0.01410313228
50,50,200m,UseSerialGC,0.0031585,0.0032607,0.003374,0.0034167,0.003475364,0.003530191,0.0036094465,0.0054290143,0.00691563715,0.01505143095
50,50,500m,UseConcMarkSweepGC,0.0025081,0.0026449,0.0031327,0.0032091,0.00334667,0.003618715,0.0041974575,0.006661142,0.015690395,0.03421119285
50,50,500m,UseG1GC,0.0025144,0.0026713,0.0031067,0.0031845,0.00331056,0.00355608,0.0045305,0.013445404,0.026414736,0.0375114784
50,50,500m,UseParallelGC,0.0020615,0.0021879,0.00242554,0.0024833,0.002560828,0.002675832,0.003140392,0.0073764938,0.0143565385,0.03770975708
50,50,500m,UseSerialGC,0.0033281,0.0034602,0.0036376,0.003702635,0.0038028,0.003889667,0.004068602,0.0087006822,0.01439161445,0.02331348777
50,50,1g,UseConcMarkSweepGC,0.00480566,0.0050169,0.00524027,0.005340195,0.005649438,0.006144735,0.006798795,0.0136837088,0.0188800942,0.05158076071
50,50,1g,UseG1GC,0.0028509,0.0029919,0.0034818,0.0035443,0.0036401,0.00385963,0.011717215,0.038452245,0.041439811,0.0511772081
50,50,1g,UseParallelGC,0.0020262,0.0021202,0.00226892,0.00231414,0.002383,0.00260508,0.002858901,0.0140699496,0.0188814258,0.04568076788
50,50,1g,UseSerialGC,0.0033968,0.0035139,0.0036578,0.00371086,0.003792052,0.003872892,0.00409655,0.0153203944,0.0210085572,0.04065594844
50,50,4g,UseConcMarkSweepGC,0.0139666,0.0145912,0.0153483,0.0155919,0.0160132,0.016686,0.018903125,0.02743003,0.029097735,0.060293432
50,50,4g,UseG1GC,0.00408812,0.0043049,0.00492198,0.00508348,0.01612878,0.028590144,0.030323638,0.0402173136,0.0433707068,0.04589342136
