Concurrency,Message Size,Heap Size,Garbage Collector,per10_latency (s),per50_latency (s),per90_latency (s),per95_latency (s),per98_latency (s),per99_latency (s),per99.5_latency (s),per99.9_latency (s),per99.95_latency (s),per99.99_latency (s)
50,50,100m,UseConcMarkSweepGC,0.0012694,0.0014657,0.0017393,0.0018022,0.0018859,0.0019926,0.0025046485,0.0050854273,0.00741516925,0.01877019857
50,50,100m,UseG1GC,0.0021163,0.0022538,0.0026891,0.00275155,0.00283096,0.00292017,0.003392225,0.007960181,0.011353693,0.0234212758
50,50,100m,UseParallelGC,0.001788,0.0019724,0.0022131,0.0022885,0.002380584,0.002483146,0.002854292,0.0056560894,0.0427899295,0.04444797336
50,50,100m,UseSerialGC,0.0026703,0.002931,0.0031771,0.0032389,0.003315,0.003376373,0.0034638595,0.0051228386,0.0061252219,0.00887707838
50,50,200m,UseConcMarkSweepGC,0.0017485,0.0018785,0.0021985,0.0022446,0.0023118,0.002422664,0.0026606665,0.0041931553,0.0056802,0.01587689484
50,50,200m,UseG1GC,0.0023221,0.0024407,0.002857,0.00291871,0.0029966,0.003181684,0.003781894,0.0087469254,0.0197848887,0.02934554202
50,50,200m,UseParallelGC,0.00211176,0.0022386,0.00242494,0.00248814,0.0025872,0.002810402,0.002985442,0.005597594,0.0092196076,0.0132395657
50,50,200m,UseSerialGC,0.0031451,0.0032518,0.0033899,0.003445795,0.003525018,0.0035853,0.003684613,0.0057939583,0.00768562605,0.01379841135
50,50,500m,UseConcMarkSweepGC,0.0025,0.0026109,0.00301304,0.003083185,0.003185062,0.003511189,0.0039756065,0.0056201082,0.0121093219,0.03927383478
50,50,500m,UseG1GC,0.00261,0.0027387,0.003193,0.0032562,0.00334802,0.00348453,0.00433119,0.013970248,0.0302068155,0.0377329187
50,50,500m,UseParallelGC,0.00208616,0.0021804,0.00235094,0.0024032,0.002530916,0.002794578,0.002930796,0.0049976492,0.0101863015,0.02904714434
50,50,500m,UseSerialGC,0.00334491,0.00345645,0.0035943,0.0036453,0.003719978,0.003800817,0.0040022975,0.0086432125,0.0129331345,0.03436074658
50,50,1g,UseConcMarkSweepGC,0.0048499,0.0049819,0.00519986,0.00529593,0.005612476,0.006213106,0.007173745,0.0161614114,0.0217771381,0.03422141736
50,50,1g,UseG1GC,0.00288774,0.0030387,0.00351712,0.00358844,0.003722308,0.003951844,0.012316052,0.0349847336,0.0362993706,0.03911990036
50,50,1g,UseParallelGC,0.0020582,0.002152,0.0023113,0.0023672,0.00248052,0.00275266,0.0030964,0.01439736,0.021114448,0.05466788
50,50,1g,UseSerialGC,0.0033605,0.0034931,0.00363644,0.00369112,0.003762676,0.003837644,0.00406409,0.016837825,0.0207526205,0.03403175854
50,50,4g,UseConcMarkSweepGC,0.01389541,0.0147086,0.01539227,0.015627405,0.016234948,0.017036232,0.0192167765,0.0277008365,0.03574557965,0.0563590452
50,50,4g,UseG1GC,0.00410965,0.00430955,0.00489423,0.005039005,0.017176314,0.028832755,0.033000001,0.0410930582,0.0437690291,0.04590980582
