Concurrency,Message Size,Heap Size,Garbage Collector,per10_latency (ms),per50_latency (ms),per90_latency (ms),per95_latency (ms),per98_latency (ms),per99_latency (ms),per99.5_latency (ms),per99.9_latency (ms),per99.95_latency (ms),per99.99_latency (ms)
50,541,100m,UseConcMarkSweepGC,0.0012175,0.0014787,0.0017757,0.001844,0.001926868,0.002040584,0.002407278,0.0048521,0.0069553924,0.02203429032
50,541,100m,UseG1GC,0.0020773,0.0022158,0.0026502,0.0027104,0.002791,0.002881062,0.0032202955,0.0081422384,0.01245765165,0.02271773395
50,541,100m,UseParallelGC,0.001722,0.0019417,0.0021882,0.0022633,0.002349,0.00243212,0.002659756,0.005385762,0.0417293378,0.0437274168
50,541,100m,UseSerialGC,0.0024043,0.0027136,0.0031572,0.0032175,0.00328957,0.0033498,0.003441335,0.0048422465,0.0057622685,0.00817653515
50,541,200m,UseConcMarkSweepGC,0.0015974,0.001709,0.00209046,0.00213678,0.002210652,0.002375592,0.002764618,0.003798134,0.0054021492,0.0164920624
50,541,200m,UseG1GC,0.0021843,0.0023062,0.00274268,0.002805645,0.00288358,0.002978136,0.003275664,0.0091022452,0.01712620555,0.03080581944
50,541,200m,UseParallelGC,0.0020537,0.002197,0.00243893,0.0024997,0.00257,0.002652369,0.0028151305,0.0049701949,0.00710234015,0.01309314144
50,541,200m,UseSerialGC,0.0032179,0.00333195,0.0034695,0.0035199,0.003594618,0.003661977,0.0037824655,0.0056195948,0.0074641615,0.01545445699
50,541,500m,UseConcMarkSweepGC,0.0025957,0.0026898,0.00303572,0.00311731,0.003261092,0.003424168,0.003869903,0.0064966628,0.0114984011,0.0295909808
50,541,500m,UseG1GC,0.002578,0.002723,0.00316622,0.00323386,0.003339156,0.00345832,0.003982752,0.011242908,0.0278312128,0.0333468372
50,541,500m,UseParallelGC,0.0020625,0.0022049,0.00244775,0.002507975,0.0026096,0.00275405,0.0032254125,0.00785107,0.012453485,0.08644751
50,541,500m,UseSerialGC,0.003272,0.0034036,0.0035969,0.00366845,0.0037751,0.00387385,0.0040283,0.00957839,0.0139797875,0.021464034
50,541,1g,UseConcMarkSweepGC,0.00474993,0.0050465,0.00527706,0.00536918,0.005642724,0.006213228,0.0068561495,0.0163755029,0.0211650492,0.04510123542
50,541,1g,UseG1GC,0.0028682,0.0030223,0.0035125,0.0035779,0.00369284,0.00393878,0.014410715,0.0337705155,0.036022952,0.03826986205
50,541,1g,UseParallelGC,0.002062,0.002166,0.0023284,0.002384,0.002495612,0.002811358,0.0032374535,0.0129534758,0.0205915116,0.06801137096
50,541,1g,UseSerialGC,0.00346461,0.0036202,0.0038027,0.0038741,0.003968734,0.004081384,0.0042690635,0.0172091869,0.0207722232,0.03390376825
50,541,4g,UseConcMarkSweepGC,0.01398934,0.0147525,0.0155894,0.01583594,0.016449868,0.017033028,0.018150588,0.0302205108,0.0353860776,0.05714106364
50,541,4g,UseG1GC,0.00406716,0.0042729,0.00486997,0.00495547,0.015927106,0.028001896,0.0320140765,0.042602362,0.052750681,0.0608693362
