Concurrency,Service Workload (message_size),Heap Size,Garbage Collector,Average latency (ms),max_latency (ms),per90_latency  (ms),per95_latency  (ms),per99_latency  (ms),per999_latency  (ms),tail_index
50,541,100MB,UseConcMarkSweepGC,3.441485441,81,6,10,23,45,-1.576384338
50,541,100MB,UseG1GC,3.724773725,103,7,10,24,55,-1.632546402
50,541,100MB,UseParallelGC,3.411434411,88,6,9,21,51,-1.591966569
50,541,100MB,UseSerialGC,3.290505291,88,6,9,20,41,-1.726341453
50,541,200MB,UseConcMarkSweepGC,3.273737274,88,6,9,21,49,-1.611516888
50,541,200MB,UseG1GC,3.445622446,97,6,9,20,47,-1.652617756
50,541,200MB,UseParallelGC,3.046180046,73,5,8,19,44,-1.497014966
50,541,200MB,UseSerialGC,3.223383223,101,6,9,23,57,-1.403751471
50,541,500MB,UseConcMarkSweepGC,3.212740213,132,6,10,23,50,-1.235799726
50,541,500MB,UseG1GC,3.528604529,114,6,10,28,65,-1.17503644
50,541,500MB,UseParallelGC,3.14041514,99,5,9,23,50,-1.247472379
50,541,500MB,UseSerialGC,3.096638097,123,5,9,22,52,-1.189827512
50,541,1GB,UseConcMarkSweepGC,3.226106226,152,5,9,19,56,-1.592834774
50,541,1GB,UseG1GC,3.348247348,113,5,9,20,47,-1.5012403
50,541,1GB,UseParallelGC,3.131967132,107,5,9,23,53,-1.126266037
50,541,1GB,UseSerialGC,3.083134083,104,5,9,22,45,-1.212528221
50,541,4GB,UseConcMarkSweepGC,3.382492382,108,5,9,21,56,-1.450049323
50,541,4GB,UseG1GC,3.504523505,112,5,9,20,46,-1.501661307
50,541,4GB,UseParallelGC,3.096259096,78,5,8,18,48,-1.597454136
50,541,4GB,UseSerialGC,3.078025078,90,5,8,17,43,-1.609174843
50,7919,100MB,UseConcMarkSweepGC,3.761263761,99,7,10,23,46,-1.69009044
50,7919,100MB,UseG1GC,3.859062859,145,7,10,23,54,-1.672776447
50,7919,100MB,UseParallelGC,3.592116592,107,7,10,22,48,-1.708205977
50,7919,100MB,UseSerialGC,3.486830487,205,7,9,20,42,-1.762425378
50,7919,200MB,UseConcMarkSweepGC,3.624058624,103,6,10,24,61,-1.486736527
50,7919,200MB,UseG1GC,3.676038676,126,6,9,20,49,-1.724946859
50,7919,200MB,UseParallelGC,3.425302425,92,6,9,20,48,-1.628082688
50,7919,200MB,UseSerialGC,3.285776286,92,6,9,19,44,-1.664143732
50,7919,500MB,UseConcMarkSweepGC,3.484652485,122,6,9,20,47,-1.650754444
50,7919,500MB,UseG1GC,3.711526712,161,6,9,21,48,-1.536140236
50,7919,500MB,UseParallelGC,3.412801413,96,6,9,19,45,-1.685802919
50,7919,500MB,UseSerialGC,3.345124345,119,5,9,19,44,-1.479543841
50,7919,1GB,UseConcMarkSweepGC,3.402665403,96,5,9,19,45,-1.598469727
50,7919,1GB,UseG1GC,3.664687665,166,6,9,20,45,-1.490905565
50,7919,1GB,UseParallelGC,3.314633315,115,5,8,18,39,-1.594369244
50,7919,1GB,UseSerialGC,3.35964736,114,5,9,19,42,-1.571493822
50,7919,4GB,UseConcMarkSweepGC,3.57039257,103,6,9,21,43,-1.41205142
50,7919,4GB,UseG1GC,3.569469569,116,5,8,19,42,-1.514400511
50,7919,4GB,UseParallelGC,3.245520246,117,5,8,18,45,-1.48715663
50,7919,4GB,UseSerialGC,3.366773367,124,5,8,18,45,-1.527642921
100,541,100MB,UseConcMarkSweepGC,6.447649448,120,11,15,40,88,-1.595980935
100,541,100MB,UseG1GC,6.865458865,152,12,16,43,91,-1.583064508
100,541,100MB,UseParallelGC,6.286184286,136,10,14,36,100,-1.719120038
100,541,100MB,UseSerialGC,6.351875352,126,10,14,38,83,-1.531430563
100,541,200MB,UseConcMarkSweepGC,6.594235594,166,11,14,32.02,89,-1.933242646
100,541,200MB,UseG1GC,6.706812707,144,11,14,30,79,-2.055134495
100,541,200MB,UseParallelGC,6.042753043,166,10,13,34,90,-1.679175838
100,541,200MB,UseSerialGC,6.00029,128,10,13,31,75,-1.747259029
100,541,500MB,UseConcMarkSweepGC,6.537365537,147,11,16,48,97,-1.384616589
100,541,500MB,UseG1GC,6.699202699,125,11,14,28,88,-2.124458114
100,541,500MB,UseParallelGC,5.878608879,140,9,12,22,76,-2.418701076
100,541,500MB,UseSerialGC,6.114268114,134,10,13,24,69,-2.20856551
100,541,1GB,UseConcMarkSweepGC,6.37956638,146,11,16,41,95,-1.597660091
100,541,1GB,UseG1GC,6.547761548,148,10,13,24,70,-2.311853001
100,541,1GB,UseParallelGC,5.704773705,128,9,11,20,64,-2.497137125
100,541,1GB,UseSerialGC,5.950965951,109,9,12,21,70,-2.344644224
100,541,4GB,UseConcMarkSweepGC,6.195878196,128,9,14,27,75,-1.813638623
100,541,4GB,UseG1GC,6.446196446,106,10,13,22,63,-2.467188196
100,541,4GB,UseParallelGC,6.04021004,119,9,12,22,62,-2.358978491
100,541,4GB,UseSerialGC,5.842023842,98,9,11,19,61,-2.468788475
100,7919,100MB,UseConcMarkSweepGC,7.187155187,164,12,16,42,91,-1.612619372
100,7919,100MB,UseG1GC,7.481732482,152,12,16,41,95,-1.648107334
100,7919,100MB,UseParallelGC,7.074772075,157,12,18,59,105,-1.205708973
100,7919,100MB,UseSerialGC,7.120781121,169,13,19,50,91,-1.417434001
100,7919,200MB,UseConcMarkSweepGC,6.787091787,161,11,15,35,91,-1.778393418
100,7919,200MB,UseG1GC,6.979078979,159,11,14,26,88,-2.377847692
100,7919,200MB,UseParallelGC,6.644989645,126,11,15,30,87,-2.058488383
100,7919,200MB,UseSerialGC,6.456030456,122,10,14,29,72,-1.946496617
100,7919,500MB,UseConcMarkSweepGC,6.782605783,128,10,14,28,77,-2.031861343
100,7919,500MB,UseG1GC,7.455036455,128,11,15,25,75,-2.473220892
100,7919,500MB,UseParallelGC,6.338740339,156,10,13,25,85,-2.150775563
100,7919,500MB,UseSerialGC,6.516328516,161,10,13,27,74,-2.005195128
100,7919,1GB,UseConcMarkSweepGC,6.722180722,181,10,14,27,109,-2.088000659
100,7919,1GB,UseG1GC,7.014734015,147,11,15,30,87,-1.945145133
100,7919,1GB,UseParallelGC,6.378568379,1004,10,13,24,73,-2.047496032
100,7919,1GB,UseSerialGC,6.575431575,147,10,13,23,76,-2.492013588
100,7919,4GB,UseConcMarkSweepGC,6.47998848,227,10,14,27,75,-1.898861262
100,7919,4GB,UseG1GC,6.995971996,156,12,17,40,91,-1.63594924
100,7919,4GB,UseParallelGC,6.412827413,158,11,15,37,90,-1.686813227
100,7919,4GB,UseSerialGC,6.393234393,821,11,15,37,92,-1.69472664
200,541,100MB,UseConcMarkSweepGC,12.6004006,243,19,24,45,162,-2.351887177
200,541,100MB,UseG1GC,15.52062952,380,25,31,58,182,-2.330388013
200,541,100MB,UseParallelGC,12.10557511,212,18,22,39,148,-2.680122754
200,541,100MB,UseSerialGC,12.44880745,206,18,22,36,118,-2.923066742
200,541,200MB,UseConcMarkSweepGC,12.28777929,257,17,21,38,157,-2.567813393
200,541,200MB,UseG1GC,12.75234175,251,19,23,45,162,-2.220512602
200,541,200MB,UseParallelGC,11.64958965,202,17,21,33,140,-3.014727095
200,541,200MB,UseSerialGC,11.77711978,242,17,20,33,104,-2.816249898
200,541,500MB,UseConcMarkSweepGC,12.27669428,245,17,21,33,166,-3.003073363
200,541,500MB,UseG1GC,13.04196204,224,19,24,41,155,-2.384237403
200,541,500MB,UseParallelGC,11.93983694,205,16,20,30,72,-3.259010238
200,541,500MB,UseSerialGC,12.16803517,223,17,21,33,131,-2.848632713
200,541,1GB,UseConcMarkSweepGC,11.68264768,177,16,20,30,123,-3.10746864
