Concurrency,Service Workload (number of array elements),Heap Size,Garbage Collector,Average latency (ms),max_latency (ms),per90_latency  (ms),per95_latency  (ms),per99_latency  (ms),per999_latency  (ms),tail_index
50,50,100MB,UseConcMarkSweepGC,3.656182656,93,7,10,23,50,-1.643375438
50,50,100MB,UseG1GC,3.857024857,112,7,10,24,51,-1.583204183
50,50,100MB,UseParallelGC,3.583276583,96,7,10,24,53,-1.574873252
50,50,100MB,UseSerialGC,3.528362528,88,7,9,20,42,-1.714823956
50,50,200MB,UseConcMarkSweepGC,3.354147354,82,6,9,20,45,-1.608962075
50,50,200MB,UseG1GC,3.861339861,114,7,10,25,68,-1.512671152
50,50,200MB,UseParallelGC,3.326940327,86,6,9,20,43,-1.629965091
50,50,200MB,UseSerialGC,3.267626268,86,6,9,18,38,-1.706961936
50,50,500MB,UseConcMarkSweepGC,3.443917444,108,6,9,20,46,-1.582605325
50,50,500MB,UseG1GC,3.810551811,135,6,10,23,57,-1.582845224
50,50,500MB,UseParallelGC,3.304648305,107,5,9,18,43,-1.64368302
50,50,500MB,UseSerialGC,3.327701328,97,6,9,19,43,-1.539647283
50,50,1GB,UseConcMarkSweepGC,3.333884334,80,5,9,18,42,-1.682662317
50,50,1GB,UseG1GC,3.634237634,150,6,9,20,47,-1.530029198
50,50,1GB,UseParallelGC,3.28005428,97,5,8,18,47,-1.588360327
50,50,1GB,UseSerialGC,3.275009275,95,5,9,19,46,-1.604221554
50,50,4GB,UseConcMarkSweepGC,3.480869481,123,5,9,22,46,-1.335892184
50,50,4GB,UseG1GC,3.61037861,113,6,9,20,44,-1.507091066
50,50,4GB,UseParallelGC,3.320944321,118,5,8,18,45,-1.618366895
50,50,4GB,UseSerialGC,3.323621324,87,5,8,18,40,-1.481216704
50,1024,100MB,UseConcMarkSweepGC,6.792098792,149,13,19,39,73,-1.751275085
50,1024,100MB,UseG1GC,6.835951836,215,13,19,45,84,-1.440214473
50,1024,100MB,UseParallelGC,6.544178544,1000,12,18,38,72,-1.675331701
50,1024,100MB,UseSerialGC,6.559139559,179,12,19,38,66,-1.698054459
50,1024,200MB,UseConcMarkSweepGC,6.420751421,203,11,18,42,80,-1.473154376
50,1024,200MB,UseG1GC,6.47997048,179,11,18,43,85,-1.381958087
50,1024,200MB,UseParallelGC,6.184195184,148,11,17,41,79,-1.470481499
50,1024,200MB,UseSerialGC,6.338791339,174,12,18,42,83,-1.498840718
50,1024,500MB,UseConcMarkSweepGC,6.233402233,218,11,16,46,94,-1.308501124
50,1024,500MB,UseG1GC,6.297993298,199,11,17,42,84,-1.390119358
50,1024,500MB,UseParallelGC,6.01973402,185,10,16,40,76,-1.413547668
50,1024,500MB,UseSerialGC,6.119190119,215,11,16,41,88,-1.355226159
50,1024,1GB,UseConcMarkSweepGC,6.181704182,175,11,17,41,83,-1.38103545
50,1024,1GB,UseG1GC,6.496347496,203,11,18,43,86,-1.368156057
50,1024,1GB,UseParallelGC,5.934003934,183,10,16,40,90,-1.368931364
50,1024,1GB,UseSerialGC,6.096373096,249,10,17,41,84,-1.362256732
50,1024,4GB,UseConcMarkSweepGC,6.357694358,214,12,21,48,90,-1.404244124
