Concurrency,Service Workload (message_size) Bytes,Heap Size (MB),Garbage Collector,Average latency (ms),max_latency (ms),per90_latency  (ms),per95_latency  (ms),per99_latency  (ms),per999_latency  (ms),tail_index
50,50,200,UseConcMarkSweepGC,3.222204222,98,6,9,22,48,-1.437981966
50,50,200,UseG1GC,3.351111351,101,6,9,22,56,-1.435908635
50,50,200,UseParallelGC,3.08000608,84,5,8,19,44,-1.533948916
50,50,200,UseSerialGC,3.106591107,74,6,9,20,49,-1.514850739
50,50,500,UseConcMarkSweepGC,3.241332241,128,6,10,24,55,-1.272900409
50,50,500,UseG1GC,3.50963351,112,6,10,25,54,-1.2655663
50,50,500,UseParallelGC,3.120603121,103,5,9,23,52,-1.187244138
50,50,500,UseSerialGC,3.108151108,107,5,9,24,53.002,-1.176535383
50,50,1024,UseConcMarkSweepGC,3.149338149,87,5,9,19,48,-1.543023558
50,50,1024,UseG1GC,3.29010929,88,5,8,18,41,-1.503296235
50,50,1024,UseParallelGC,3.022128022,86,5,8,17,40,-1.593396722
50,50,1024,UseSerialGC,3.015810016,91,5,8,18,40,-1.470448254
50,50,4096,UseConcMarkSweepGC,3.299487299,146,5,10,27,63,-1.075269719
50,50,4096,UseG1GC,3.395112395,125,6,10,25,55,-1.233794551
50,50,4096,UseParallelGC,2.954399954,132,5,9,21,46,-1.176283645
50,50,4096,UseSerialGC,3.083121083,121,5,9,21,50,-1.234957304
50,1024,200,UseConcMarkSweepGC,3.438658439,107,6,9,21,46,-1.68685932
50,1024,200,UseG1GC,3.497414497,117,6,9,21,48,-1.73197134
50,1024,200,UseParallelGC,3.285126285,93,6,9,20,46,-1.692177003
50,1024,200,UseSerialGC,3.264326264,82,6,9,22,48,-1.53630462
50,1024,500,UseConcMarkSweepGC,3.288574289,112,6,10,25,54,-1.236528238
50,1024,500,UseG1GC,3.550670551,125,6,10,25,52,-1.400033061
50,1024,500,UseParallelGC,3.288060288,105,6,10,24,54,-1.280753234
50,1024,500,UseSerialGC,3.250897251,86,6,10,24,52,-1.327471359
50,1024,1024,UseConcMarkSweepGC,3.262758263,106,6,10,23,53,-1.336449251
50,1024,1024,UseG1GC,3.599480599,117,6,10,25,54,-1.355352891
50,1024,1024,UseParallelGC,3.225811226,120,5,9,23,56,-1.224041153
50,1024,1024,UseSerialGC,3.205987206,141,5,10,23,53,-1.289585536
50,1024,4096,UseConcMarkSweepGC,3.436781437,103,6,9,21,43,-1.491841409
50,1024,4096,UseG1GC,3.667747668,142,6,9,21,58,-1.71569153
50,1024,4096,UseParallelGC,3.246703247,97,5,8,18,46,-1.670277254
50,1024,4096,UseSerialGC,3.172670173,90,5,8,17,39,-1.689396912
