Impact of Concurrency,,"1G heap, Parallel Collector",,,,,
Concurrency,Percentile 90 (ms),Percentile 95(ms),Percentile 99 (ms),Percentile 99.9 (ms),Tail Index,Average latency (ms),Max Latency (ms)
50,167,176,194,222,-16.29,74.09,257
100,289,304,332,420,-17.68,137.63,491
200,509,531,574,779,18.43,256,843
500,1209,1256,1329,1614,22.94,610,1700
1000,2354,2544,2858,3065,13.18,1205,3245
,,,,,,,
Impact of Heap,,"100 concurrency, Parallel Collector",,,,,
Heap,Percentile 90 (ms),Percentile 95(ms),Percentile 99 (ms),Percentile 99.9 (ms),Tail Index,Average latency (ms),Max Latency (ms)
100MB,292,305,333,381,18.5,137.69,423
200MB,293,308,334,387,17.99,138,425
500MB,295,312,352,394,14.06,142,1119
1GB,292,306,332,381,18.32,137,432
2GB,291,307,347,387,14.39,139,426
4GB,290,304,330,383,18.36,136,435
8GB,294,309,335,385,18.24,139,429
Impact of Collector,,"1G heap, 100 concurrency",,,,,
Concurrency,Percentile 90 (ms),Percentile 95(ms),Percentile 99 (ms),Percentile 99.9 (ms),Tail Index,Average latency (ms),Max Latency (ms)
Parallel,295,312,353,397,13.88,143,441
Serial,291,306,332,380,17.91,137,417
CMS,295,310,337,388,18.31,139,426
G1,294,308,337,387,17.56,138,430
